,P02con,P02fu,P02ox,P03con,P03fu,P03ox,P07con,P07fu,P07ox,P15con,P15fu,P15ox,P02_Ccon,P02_Cfu,P02_Cox,P03_Ccon,P03_Cfu,P03_Cox,P07_Ccon,P07_Cfu,P07_Cox,P15_Ccon,P15_Cfu,P15_Cox,P02_CPc,P02_CPp1,P02_CPs1,P03_CPc,P03_CPp1,P03_CPs1,P07_CPc,P07_CPp1,P07_CPs1,P15_CPc,P15_CPp1,P15_CPs1
P15fu,0.9588082655389232,0.9639234102572899,0.9553095891606725,0.9520472317227308,0.9640874488470008,0.9579437581016148,0.9736859447549097,0.9577691106433859,0.958099261113579,0.9795909237489092,1.0,0.9831048037554966,0.9424821223702323,0.909584064741654,0.9345978013970159,0.935540163250195,0.9239054197076668,0.890675855078684,0.935275136256367,0.9177162764774782,0.9320852554286001,0.9358079036073798,0.9424936274730796,0.9285407612444746,0.9433233570577404,0.9440751450130007,0.9365661188291374,0.9257363095814419,0.9265334253593714,0.9207746750929119,0.8887559323562935,0.8902410118424244,0.8678299864262755,0.9228454085625778,0.9221762860618961,0.9049850114427324
P15ox,0.969811176313041,0.9720918932452067,0.970617007626778,0.9687126848544885,0.967263465684975,0.9684820740808633,0.984427364769813,0.9670414058417642,0.9714306151025948,0.9899296426970948,0.9831048037554966,1.0,0.9544248370656163,0.9175856519924703,0.94626672821218,0.9504927979624962,0.9333062180865366,0.8992847243740093,0.9431055286266995,0.9237454245284948,0.9425736062758351,0.945315414725904,0.9490922751773264,0.9365102267674812,0.9539502743685678,0.9531966819263723,0.9469413020588083,0.9384649382148071,0.9367237195468888,0.9311702031574971,0.8974655843823607,0.8986327526659829,0.8725437478513104,0.9324972130470771,0.9317058300661397,0.911401792767211
P02_Ccon,0.9720970567173819,0.9638886421264808,0.966808459946901,0.9736004179951951,0.9563726523214164,0.9656742892509421,0.9512177973451513,0.9571499352449961,0.9572878276285967,0.9606975617188369,0.9424821223702323,0.9544248370656163,1.0,0.9500998487651998,0.9896627294962955,0.9716460999097727,0.9750348622229433,0.9444802376952103,0.9644278361939786,0.9376387615151359,0.9610573261169759,0.9540967466903686,0.9650127195724817,0.9442944525216432,0.9648846201142999,0.962927508761543,0.9528894663924001,0.9501949809557102,0.9498077671075981,0.9434118898572885,0.9230820953061859,0.9249114018600226,0.8869236829672357,0.9341555958191853,0.9359141860175709,0.9130680745149661
P02_Cfu,0.9314988525641443,0.9423921439946246,0.929319911539701,0.9320946779494844,0.9417829475179353,0.9346997903173253,0.9128361368302893,0.930498882033907,0.9254447980346565,0.9241455438343694,0.909584064741654,0.9175856519924703,0.9500998487651998,1.0,0.9653702955000364,0.9659212155710419,0.9702930570279684,0.9741370329466295,0.9713874611947567,0.9754425546556625,0.9713138715539965,0.9701248443222518,0.9703062458218892,0.9646599310416192,0.9481825887262495,0.9441512764411346,0.9456774899077675,0.9377526883787803,0.9383835625059651,0.9397334543208307,0.9329395828300409,0.9310672842611214,0.9115217956383544,0.9323569316838973,0.9386118099399857,0.9249010742647923
P02_Cox,0.9664179814277492,0.9615334695761483,0.9620876190928273,0.9678367205951708,0.9553900313257194,0.9620892608783773,0.9428519370421342,0.9545634252302022,0.9529835887537232,0.9532175032787147,0.9345978013970159,0.94626672821218,0.9896627294962955,0.9653702955000364,1.0,0.9769408687224365,0.9819226547931963,0.9613886014409665,0.973223368112947,0.9532196783118748,0.9709842336796172,0.9648156700529699,0.9726611118625955,0.9562515395386291,0.966847307884666,0.9635414477546389,0.9567153037982584,0.9540392815404413,0.954067380085094,0.9489605960665661,0.9340553443416553,0.9348346280240925,0.8998947107519994,0.9392272367127005,0.9430439614682067,0.920626446122022
P03_Ccon,0.964787591904072,0.9638331008772463,0.9689291106055461,0.9733953260588175,0.9637269193932846,0.9661727593017132,0.9504471836834344,0.9677033500830159,0.9648602334547826,0.9567317027626717,0.935540163250195,0.9504927979624962,0.9716460999097727,0.9659212155710419,0.9769408687224365,1.0,0.9725846095114549,0.9579693293247382,0.974254507900327,0.9646101256034745,0.9762822417355683,0.9692251615969297,0.9713621930184893,0.9618214249481236,0.9636185183981246,0.958354968707651,0.9542393106260982,0.9567463518709997,0.956150236067918,0.9510044435743592,0.9277668489909232,0.9271625638665277,0.9005747900939082,0.9410793310430253,0.9444477221711396,0.9197860021544642
P03_Cfu,0.9460215848516114,0.9479203806217693,0.9429691559533369,0.9490079996320873,0.9456678932320146,0.9482406808934968,0.9310225537205156,0.9385879075671075,0.9360943320131303,0.9396405149023513,0.9239054197076668,0.9333062180865366,0.9750348622229433,0.9702930570279684,0.9819226547931963,0.9725846095114549,1.0,0.9742350059863684,0.9741699461293799,0.959961598217418,0.9706841252774702,0.9691778314273891,0.9774843605358672,0.9626976361715703,0.955790074329253,0.953692922049463,0.9483022191215542,0.9418445956910838,0.941735718600134,0.9410187116326824,0.9343338102795832,0.9342373965763358,0.9033680738730858,0.9348513900212537,0.9386876162517035,0.9233469686388555
P03_Cox,0.9160366284243258,0.9252023263302888,0.914737615463427,0.9182756664156074,0.9254741775796993,0.9205951052189673,0.895600955441406,0.914503182545813,0.9082177971995137,0.9059737022291806,0.890675855078684,0.8992847243740093,0.9444802376952103,0.9741370329466295,0.9613886014409665,0.9579693293247382,0.9742350059863684,1.0,0.9619432727333816,0.9628059126226146,0.9609805757786218,0.9600770319967111,0.9641518671406194,0.9549965634701054,0.9356776879483505,0.9309839467878711,0.9313331754997375,0.9255013076771754,0.9264668793950123,0.9285992369241859,0.9275088946823457,0.9261473323349336,0.9031417055070371,0.9204477725435726,0.9274533346184026,0.9142733073209292
P07_Ccon,0.9532375742567073,0.9529635735546985,0.9504331459460714,0.9534874053523639,0.9493330147028577,0.9503103842534617,0.9379432848877497,0.9486067157712117,0.9451487557455863,0.9493227652887564,0.935275136256367,0.9431055286266995,0.9644278361939786,0.9713874611947567,0.973223368112947,0.974254507900327,0.9741699461293799,0.9619432727333816,1.0,0.9787051455722308,0.9882742656295035,0.9828325871051796,0.9838240224296729,0.9805686761961763,0.9658858229396985,0.9635422241652959,0.9624484275218831,0.9573447265648186,0.9581061034580439,0.9569170400438347,0.9482886237600425,0.9460630638888907,0.9270743477732369,0.950403885630417,0.9542682347819473,0.9397926620677975
P07_Cfu,0.9311586806025349,0.9417161913392786,0.9311289188847937,0.9316150812529272,0.9449057386497568,0.9342060710078489,0.919891676158982,0.9376444033497224,0.9315656365400651,0.9290861580165254,0.9177162764774782,0.9237454245284948,0.9376387615151359,0.9754425546556625,0.9532196783118748,0.9646101256034745,0.959961598217418,0.9628059126226146,0.9787051455722308,1.0,0.9797312587472822,0.9781238258627764,0.9722596565303635,0.976558840954136,0.9464688283179383,0.9418481855116587,0.9463576896052512,0.9389896082404897,0.9397491927949143,0.9412007918575874,0.9343132427865043,0.931421627464583,0.9223781329370606,0.9363148629885956,0.9420907920848842,0.9306871835020901
