"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000281772",0.710452423390786,-20.777167210174,3.75884763956734,-5.5275364160718,3.24758831486835e-08,1.28183188514426e-05
"ENSG00000151025",0.735675313384986,-20.6540886834941,3.74064057602771,-5.52153789269624,3.36045322292331e-08,1.30869490313525e-05
"ENSG00000108576",0.761551376642388,-20.5685863426477,3.73161716686508,-5.51197655678257,3.54826191087485e-08,1.34594329730951e-05
"ENSG00000229948",1.49113445240886,-20.6923884727208,3.75382984503183,-5.51234055004038,3.5409293585303e-08,1.34594329730951e-05
"ENSG00000266980",0.925918429053595,-20.658986334538,3.75216200286599,-5.50588868997612,3.67310568266495e-08,1.37543680486254e-05
"ENSG00000207117",0.836899384855333,-20.6974965950057,3.76092661868163,-5.50329711092876,3.72753448409338e-08,1.3781497115367e-05
"ENSG00000148483",2.17729726731272,-20.6217477914587,3.75025047144865,-5.4987654687216,3.82459417845093e-08,1.38547804394524e-05
"ENSG00000253961",0.940907605050932,-20.6433640960533,3.75648615159173,-5.49539204006014,3.89843379990111e-08,1.38547804394524e-05
"ENSG00000270591",1.19624288456459,-20.6598618890875,3.7594173585808,-5.49549568949341,3.89614461260721e-08,1.38547804394524e-05
"ENSG00000259513",1.0328198481615,-20.6938592420941,3.76686861405401,-5.49365039303104,3.93709523580715e-08,1.38547804394524e-05
"ENSG00000270975",0.611912745627567,-20.6520075485422,3.76323748029713,-5.48783000187158,4.0690137012684e-08,1.41485419269818e-05
"ENSG00000250120",0.69162855952475,-20.4719903217174,3.73445016600472,-5.48192890832419,4.20713302172577e-08,1.42885978254147e-05
"ENSG00000265443",1.2664656756925,-20.5276444744274,3.74447266124673,-5.48211893409649,4.20261533206437e-08,1.42885978254147e-05
"ENSG00000137251",1.06356770220432,-20.5728798850073,3.7553836008367,-5.47823659889861,4.29585472241859e-08,1.44222212336094e-05
"ENSG00000229044",1.14939388591897,-20.4723939473388,3.74137887971048,-5.47188472633999,4.45274444168984e-08,1.47790635969178e-05
"ENSG00000266049",1.30407191048856,-20.4287107777965,3.73860015011269,-5.46426736145633,4.64822519847456e-08,1.52545350109039e-05
