"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-445355","Smooth Muscle Contraction","9/455","37/8526",0.243243243243243,4.55800415800416,5.1495379732572,0.000105662556940885,0.0032814094072197,0.0032814094072197,"MYL9/ACTG2/TPM2/ACTA2/CACNA1H/GUCY1B1/ITGB5/SORBS1/CALD1",9
"R-HSA-9820448","Developmental Cell Lineages of the Exocrine Pancreas","11/455","55/8526",0.2,3.74769230769231,4.85368201289631,0.000125204836429622,0.00378321640887344,0.00378321640887344,"FGF2/LAMA2/COL5A2/FGF7/TFPI2/LAMA4/KRT17/LAMA1/COL1A1/COL1A2/COL3A1",11
"R-HSA-8875878","MET promotes cell motility","9/455","38/8526",0.236842105263158,4.43805668016194,5.04302781581216,0.000132011452684259,0.00388391589739477,0.00388391589739477,"LAMA2/COL5A2/HGF/ITGA2/LAMA4/LAMA1/COL1A1/COL1A2/COL3A1",9
"R-HSA-2219528","PI3K/AKT Signaling in Cancer","14/455","87/8526",0.160919540229885,3.01538461538462,4.48602087719704,0.000185929969253811,0.00532999245194257,0.00532999245194257,"FGF2/GAB2/BDNF/NRG1/FGF7/HGF/AREG/MDM2/LCK/VAV1/FGFR1/EREG/PDGFRA/CDKN1A",14
"R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","13/455","77/8526",0.168831168831169,3.16363636363636,4.52810196590201,0.000191636245225894,0.00535623305406373,0.00535623305406373,"H4C8/H2BC5/CDKN2B/H4C9/H2AC6/CXCL8/H2BC12/CEBPB/H3C6/IGFBP7/H2BC11/IL6/CDKN1A",13
"R-HSA-9734767","Developmental Cell Lineages","15/455","98/8526",0.153061224489796,2.86813186813187,4.41618768098972,0.000196552323426771,0.00535964628271048,0.00535964628271048,"FGF2/MFGE8/LAMA2/COL5A2/ACTA2/FGF7/CNN1/AREG/TFPI2/LAMA4/KRT17/LAMA1/COL1A1/COL1A2/COL3A1",15
"R-HSA-9970672","FXIIa activates plasma kallikrein-kinin system","8/455","32/8526",0.25,4.68461538461538,4.95792828401419,0.000208892509871541,0.00556051966753294,0.00556051966753294,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/H3C6/A2M/H2BC11",8
"R-HSA-109582","Hemostasis","44/455","477/8526",0.0922431865828092,1.7284954039671,3.88780308914925,0.000233655775421285,0.0060750501609534,0.0060750501609534,"SIRPA/CLU/IRAG1/TRPC6/PRKAR2B/PLAT/CD36/PLAU/SDC2/ITGA10/GUCY1B1/VEGFD/HGF/ECM1/GPC1/SPARC/SMPD1/HRAS/MMP1/GNG11/H3C6/TUBB6/A2M/JAM3/KCNMA1/PROS1/GNAI1/F10/ITGA2/TFPI/FERMT3/PHACTR2/ABCC4/TEK/LCK/VAV1/COL1A1/GNB4/ATP2A3/COL1A2/THBS1/RARRES2/TIMP1/SLC3A2",44
"R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells","9/455","41/8526",0.219512195121951,4.11332082551595,4.74437599955729,0.000245962477001299,0.00624968293835119,0.00624968293835119,"LAMA2/COL5A2/TFPI2/LAMA4/KRT17/LAMA1/COL1A1/COL1A2/COL3A1",9
"R-HSA-9764560","Regulation of CDH1 Gene Transcription","12/455","70/8526",0.171428571428571,3.21230769230769,4.41266827950315,0.000290099623449246,0.00720736397813905,0.00720736397813905,"H4C8/H2BC5/ZEB1/MCRIP1/SNAI2/TWIST1/H4C9/H2AC6/H2BC12/H3C6/ZEB2/H2BC11",12
