"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0040007","growth","50/641","494/12837",0.101214574898785,2.02697581587474,5.33640137822778,1.41714752057482e-06,0.000106072361230974,7.38313590899288e-05,"FGF2/DAB2/BASP1/RGS4/SOCS2/BDNF/SALL1/APOE/MEF2C/NRG1/FGF7/SESN2/PLCB1/ARHGAP4/FRZB/MT2A/FGF13/ZC3H12D/MMP14/DDR2/UCN/RGS2/TNFAIP6/DCBLD2/LRP12/FBLN5/IGFBP5/LIN7A/TRPV2/NRP1/SPHK1/OSGIN1/WFDC1/IGFBP7/INHBA/AKAP6/GDF15/KRT17/TBX2/FHL1/SYT1/GAS1/GJA1/EREG/CYBA/STC1/CPQ/COL3A1/MAD2L2/CDKN1A",50
"GO:0000302","response to reactive oxygen species","23/641","150/12837",0.153333333333333,3.07073322932917,5.84824385894118,1.43861763839538e-06,0.000106072361230974,7.38313590899288e-05,"SIRPA/LRRK2/HMOX1/IL18RAP/PCNA/APOE/SESN2/CD36/HGF/AREG/TXNIP/MDM2/DDR2/FBLN5/PLK3/SOD3/CYGB/GPR37/MMP3/COL1A1/TRPA1/PDGFRA/IL6",23
"GO:0003012","muscle system process","37/641","319/12837",0.115987460815047,2.32282532680618,5.48485979283505,1.49344587423671e-06,0.000106381193286297,7.40463207454479e-05,"CACNA2D1/KCNJ2/MYL9/RGS4/HMOX1/ADORA1/CACNA1C/TPM2/APBB1/ACTA2/HAND2/CACNA1H/SCN9A/TCAP/CNN1/FGF13/DMPK/GDNF/UCN/SCN2A/RGS2/IGFBP5/KCNMA1/GNAI1/SPHK1/IL6ST/ITGA2/AKAP6/EDNRB/CALD1/GJA1/CYBA/STC1/TRPA1/PRKD1/KCNE5/IL1B",37
"GO:0044057","regulation of system process","38/641","332/12837",0.114457831325301,2.2921921696145,5.46876749779371,1.49433499893563e-06,0.000106381193286297,7.40463207454479e-05,"CACNA2D1/KCNJ2/LRRK2/MYL9/DAB2/RGS4/ADORA1/CACNA1C/INPP5K/APOE/HAND2/CACNA1H/TSHZ3/CNN1/FGF13/DMPK/ADM/UCN/RGS2/IGFBP5/GNAI1/SPHK1/SVEP1/IL6ST/ITGA2/INHBA/AKAP6/EDNRB/TBX2/TMEM100/NALF1/ATP2A3/GJA1/CYBA/STC1/TRPA1/PRKD1/KCNE5",38
"GO:0061900","glial cell activation","11/641","38/12837",0.289473684210526,5.79715083340176,6.78925801704558,1.54481676348281e-06,0.000108110990108822,7.52503408018921e-05,"CLU/LRRK2/IL33/IFNGR1/GRN/SYT11/ZEB2/SPHK1/LRP1/IL6/IL1B",11
"GO:0042742","defense response to bacterium","24/641","163/12837",0.147239263803681,2.94869021754735,5.74003997486313,1.79626758264042e-06,0.000121314801777495,8.44408155811117e-05,"H2BC5/COLEC12/ISG15/IL18RAP/IL33/CXCL6/PI3/IGHG2/H2BC12/ADM/CEBPB/GRN/IGHG1/CASP1/SYT11/MR1/H2BC11/CYBA/IGHM/EMILIN1/PRKD1/RARRES2/IL6/IL1B",24
"GO:0007268","chemical synaptic transmission","44/641","415/12837",0.106024096385542,2.12329379922185,5.3328185689023,1.82163180193864e-06,0.000121314801777495,8.44408155811117e-05,"SCRIB/PRKAR2B/PLAT/NSG1/LRRK2/RGS4/ADORA1/BDNF/CLMP/CNRIP1/APOE/SQSTM1/MEF2C/CDH11/PLCB1/CCL2/VPS18/LPAR3/INA/TSHZ3/GDNF/MDM2/UCN/MAP1A/GRIK1/LIN7A/SYT11/SLC29A1/NCDN/GPR176/SNCG/BEST1/RASGRF2/CNIH2/BRSK1/SV2A/SYT1/NR3C1/PLK2/STXBP5/PLCL1/PRNP/WNT5A/IL1B",44
"GO:0098916","anterograde trans-synaptic signaling","44/641","415/12837",0.106024096385542,2.12329379922185,5.3328185689023,1.82163180193864e-06,0.000121314801777495,8.44408155811117e-05,"SCRIB/PRKAR2B/PLAT/NSG1/LRRK2/RGS4/ADORA1/BDNF/CLMP/CNRIP1/APOE/SQSTM1/MEF2C/CDH11/PLCB1/CCL2/VPS18/LPAR3/INA/TSHZ3/GDNF/MDM2/UCN/MAP1A/GRIK1/LIN7A/SYT11/SLC29A1/NCDN/GPR176/SNCG/BEST1/RASGRF2/CNIH2/BRSK1/SV2A/SYT1/NR3C1/PLK2/STXBP5/PLCL1/PRNP/WNT5A/IL1B",44
"GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","27/641","198/12837",0.136363636363636,2.73088923556942,5.62704873310155,1.90419768428817e-06,0.000124800511721045,8.68670338677515e-05,"DAB2/CDKN2B/GREM1/FOXD1/FST/DKK3/CCN1/GREM2/PPM1A/BMP2/SAP30L/TNFAIP6/ATOH8/MICOS10-NBL1/ZEB2/TWSG1/FBN1/FSTL1/INHBA/NBL1/GDF15/FBN2/CITED2/VASN/LRP1/THBS1/EMILIN1",27
"GO:0042692","muscle cell differentiation","33/641","272/12837",0.121323529411765,2.42968821694044,5.46361016734238,2.05935774904168e-06,0.000132860752278017,9.24773409072746e-05,"MYL9/RGS4/GREM1/BDNF/LAMA2/POPDC3/FLNC/MEF2C/TMEM204/NRG1/CYP26B1/CACNA1H/ADAMTS5/TCAP/BMP2/MMP14/RBM24/DMPK/ADM/MDM2/PLEKHO1/RCAN1/RGS2/COL6A1/ITGA8/AKAP6/EDNRB/TBX2/LAMA1/EREG/PDGFRA/PRKD1/POPDC1",33
